[2020-10-26 15:51:27.896577] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:4, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:28.867582] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:5, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:29.860222] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:6, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:30.863112] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:7, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

[2020-10-26 15:51:31.863497] {'wagonlidOpen': False, 'motorSpeed2': 0, 'motorSpeed1': 40, 'wagonEnd': True, 'tank1': 40, 'valveTank1': False, 'valveSilo1': False, 'wagonStart': False, 'valveSilo2': False, 'tankFinal': 0, 'valve2': False, 'valve1': False, 'wagonCar': 20, 'wagonMoving': False, 'tankCharcoal': 500, 'motor2a': False, 'motor2': False, 'motor1': True, 'valveTankFinal': False, 'silo1': 0, 'silo2': 20, 'valveTankCharcoal': False, 'approvisioning2': 500, 'approvisioning1': 500, 'motor1a': True}, e1:False, es1:False, ew:False, es2:False, rm1:True, rm1a:True, rm1w:10, rm1aw:8, rm2w:0, rm2aw:0 rm2:False, rm2a:False, ef:False

